cabbage n.洋白菜，卷心菜# 
cabin n.小屋；船舱，机舱# 
cabinet n.橱，柜；内阁# 
cable n.缆，索；电缆；电报# 
cafe n.咖啡馆；小餐厅# 
cafeteria n.自助食堂# 
cage n.笼；鸟笼，囚笼# 
cake n.饼，糕，蛋糕# 
calculate vt.计算；估计；计划# 
calculation n.计算，计算结果# 
calculator n.计算器，计算者# 
calendar n.日历，历书；历法# 
call vt.把…叫做；叫，喊# 
calm a.静的，平静的# 
camel n.骆驼# 
camera n.照相机，摄影机# 
camp n.野营，营地，兵营# 
campaign n.战役；运动# 
campus n.校园，学校场地# 
can aux.v.能，会，可能# 
can n.罐头，听头；容器# 
Canada n.加拿大# 
Canadian a.加拿大的# 
canal n.运河；沟渠；管# 
cancel vt.取消，撤消；删去# 
cancer n.癌，癌症，肿瘤# 
candidate n.候选人；投考者# 
candle n.蜡烛；烛形物；烛光# 
candy n.糖果；砂糖结晶# 
cannon n.大炮，火炮；榴弹炮# 
canoe n.独木舟，皮艇，划子# 
canteen n.小卖部；临时餐室# 
canvas n.粗帆布；一块油画布# 
cap n.帽子，便帽；帽状物# 
capable a.有能力的，有才能的# 
capacity n.容量；能力；能量# 
capital n.资本，资金；首都# 
captain n.陆军上尉；队长# 
captive n.俘虏，被监禁的人# 
capture vt.捕获，俘获；夺得# 
car n.汽车，小汽车，轿车# 
carbon n.碳# 
card n.卡，卡片，名片# 
care vi.关心，介意n.小心# 
career n.生涯，职业，经历# 
careful a.仔细的；细致的# 
careless a.粗心的，漫不经心的# 
cargo n.船货，货物# 
carpenter n.木工，木匠# 
carpet n.地毯，毡毯，毛毯# 
carriage n.客车厢；四轮马车# 
carrier n.运输工具；运载工具# 
carrot n.胡罗卜# 
carry vt.携带；运载；传送# 
cart n.二轮运货马车# 
carve vt.刻，雕刻；切开# 
case n.情况；事实；病例# 
case n.箱(子)，盒(子)，套# 
cash n.现金，现款# 
cassette n.盒式录音带；盒子# 
cast vt.投，扔，抛；浇铸# 
castle n.城堡；巨大建筑物# 
casual a.偶然的；随便的# 
cat n.猫，猫科，猫皮# 
catalog n.目录，目录册# 
catch vt.捉住；赶上；领会# 
cathedral n.总教堂；大教堂# 
cattle n.牛；牲口，家畜# 
cause n.原因，理由；事业# 
cave n.山洞，洞穴，窑洞# 
cease vi.&vi.&n.停止，停息# 
ceiling n.天花板，顶蓬# 
celebrate vt.庆祝；歌颂，赞美# 
cell n.细胞；小房间# 
cellar n.地窑，地下室# 
cement n.水泥；胶泥vt.粘结# 
cent n.分；分币；百# 
centigrade a.百分度的# 
centimetre n.公分，厘米# 
central a.中心的；主要的# 
centre n.中心；中枢vt.集中# 
century n.世纪，百年# 
ceremony n.典礼，仪式；礼节# 
certain a.确实的；肯定的# 
certainly ad.一定，必定；当然# 
certainty n.必然；肯定# 
certificate n.证书，证件，执照# 
chain n.链，链条，项圈# 
chair n.椅子；主席# 
chairman n.主席；议长，会长# 
chalk n.白垩；粉笔# 
challenge n.挑战；要求，需要# 
chamber n.会议室；房间；腔# 
champion n.冠军，得胜者# 
chance n.机会，机遇；可能性# 
